iter	Passed	Remaining
195	5610	23016
196	5638	22982
197	5665	22948
198	5692	22914
199	5721	22886
200	5749	22854
201	5776	22819
202	5804	22787
203	5832	22757
204	5860	22725
205	5889	22699
206	5917	22669
207	5944	22636
208	5973	22607
209	6002	22579
210	6031	22553
211	6060	22528
212	6090	22504
213	6122	22488
214	6154	22471
215	6184	22447
216	6213	22420
217	6242	22393
218	6270	22363
219	6299	22335
220	6328	22307
221	6359	22285
222	6387	22257
223	6416	22229
224	6443	22195
225	6471	22161
226	6500	22135
227	6529	22107
228	6559	22083
229	6587	22053
230	6619	22036
231	6648	22007
232	6677	21982
233	6705	21951
234	6734	21923
235	6763	21895
236	6792	21867
237	6821	21840
238	6850	21812
239	6879	21786
240	6908	21758
241	6935	21724
242	6964	21695
243	6991	21663
244	7020	21633
245	7048	21603
246	7079	21582
247	7107	21552
248	7135	21519
249	7163	21490
250	7191	21461
251	7219	21430
252	7247	21399
253	7276	21370
254	7303	21336
255	7332	21309
256	7361	21283
257	7390	21255
258	7418	21225
259	7447	21197
260	7477	21170
261	7506	21144
262	7534	21112
263	7562	21083
264	7592	21057
265	7622	21032
266	7652	21008
267	7681	20979
268	7710	20951
269	7739	20924
270	7766	20890
271	7793	20859
272	7821	20828
273	7849	20798
274	7878	20770
275	7907	20742
276	7937	20717
277	7965	20686
278	7992	20655
279	8022	20628
280	8050	20597
281	8079	20570
282	8106	20538
283	8134	20507
284	8161	20476
285	8189	20445
286	8218	20417
287	8249	20394
288	8282	20375
289	8312	20352
290	8343	20327
291	8372	20300
292	8401	20272
293	8428	20238
294	8455	20207
295	8483	20176
296	8511	20145
297	8538	20114
298	8567	20086
299	8595	20056
300	8622	20024
301	8651	19994
302	8678	19963
303	8705	19932
304	8732	19898
305	8760	19868
306	8788	19838
307	8816	19809
308	8845	19779
309	8873	19750
310	8901	19721
311	8930	19692
312	8956	19658
313	8985	19630
314	9013	19601
315	9043	19576
316	9073	19549
317	9102	19520
318	9129	19489
319	9157	19460
320	9191	19442
321	9224	19423
322	9255	19398
323	9283	19368
324	9310	19336
325	9339	19309
326	9367	19279
327	9395	19248
328	9424	19221
329	9452	19191
330	9481	19162
331	9508	19132
332	9537	19103
333	9567	19076
334	9595	19048
335	9625	19022
336	9653	18991
337	9683	18966
338	9712	18938
339	9741	18910
340	9768	18878
341	9796	18848
342	9824	18817
343	9852	18788
344	9880	18759
345	9908	18729
346	9937	18700
347	9964	18669
348	9992	18638
349	10020	18609
350	10048	18580
351	10079	18555
352	10107	18525
353	10136	18496
354	10163	18465
355	10190	18434
356	10220	18408
357	10250	18381
358	10279	18353
359	10306	18322
360	10334	18293
361	10366	18269
362	10394	18241
363	10421	18209
364	10449	18178
365	10478	18150
366	10505	18119
367	10533	18090
368	10561	18059
369	10589	18030
370	10616	17999
371	10644	17970
372	10673	17941
373	10701	17911
374	10730	17883
375	10757	17852
376	10784	17820
377	10811	17791
378	10838	17759
379	10866	17730
380	10893	17698
381	10921	17668
382	10950	17640
383	10978	17610
384	11007	17583
385	11036	17554
386	11064	17526
387	11094	17499
388	11122	17469
389	11150	17440
390	11179	17412
391	11208	17383
392	11235	17353
393	11264	17326
394	11292	17296
395	11319	17265
396	11348	17237
397	11376	17207
398	11404	17178
399	11432	17149
400	11460	17119
401	11489	17090
402	11516	17060
403	11544	17030
404	11572	17001
405	11601	16973
406	11629	16944
407	11658	16915
408	11684	16883
409	11711	16853
410	11739	16824
411	11767	16794
412	11795	16764
413	11823	16735
414	11851	16706
415	11878	16676
416	11906	16646
417	11934	16617
418	11962	16588
419	11990	16557
420	12018	16528
421	12045	16498
422	12072	16467
423	12099	16436
424	12126	16406
425	12153	16375
426	12180	16344
427	12209	16317
428	12240	16291
429	12273	16269
430	12305	16245
431	12335	16219
432	12363	16190
433	12393	16162
434	12420	16132
435	12449	16104
436	12475	16073
437	12503	16043
438	12532	16015
439	12560	15985
440	12589	15958
441	12619	15931
442	12648	15904
443	12675	15872
444	12703	15843
445	12731	15814
446	12760	15786
447	12788	15757
448	12817	15729
449	12844	15699
450	12874	15671
451	12902	15643
452	12931	15614
453	12959	15585
454	12988	15557
455	13015	15527
456	13043	15498
457	13074	15472
458	13103	15444
459	13131	15415
460	13161	15388
461	13190	15360
462	13220	15333
463	13251	15307
464	13280	15279
465	13310	15252
466	13340	15226
467	13368	15196
468	13397	15168
469	13424	15138
470	13452	15109
471	13478	15077
472	13506	15047
473	13534	15019
474	13562	14989
475	13591	14961
476	13619	14932
477	13647	14904
478	13673	14872
479	13702	14843
480	13730	14814
481	13758	14785
482	13785	14756
483	13816	14729
484	13843	14700
485	13870	14669
486	13897	14639
487	13924	14609
488	13953	14581
489	13981	14552
490	14009	14523
491	14037	14494
492	14065	14464
493	14093	14435
494	14123	14408
495	14152	14380
496	14182	14353
497	14211	14326
498	14238	14296
499	14267	14267
500	14294	14237
501	14322	14208
502	14351	14179
503	14378	14150
504	14405	14120
505	14434	14092
506	14462	14063
507	14490	14033
508	14517	14004
509	14545	13974
510	14573	13946
511	14600	13915
512	14627	13885
513	14654	13856
514	14681	13826
515	14710	13797
516	14738	13769
517	14765	13739
518	14792	13709
519	14820	13680
520	14851	13654
521	14882	13627
522	14910	13598
523	14938	13569
524	14966	13540
525	14994	13512
526	15023	13484
527	15051	13455
528	15079	13426
529	15109	13398
530	15138	13370
531	15166	13342
532	15197	13315
533	15226	13287
534	15254	13258
535	15283	13230
536	15313	13203
537	15351	13182
538	15384	13158
539	15416	13132
540	15444	13103
541	15473	13075
542	15502	13046
543	15531	13018
544	15560	12990
545	15589	12962
546	15620	12935
547	15649	12907
548	15678	12879
549	15707	12851
550	15734	12821
551	15761	12792
552	15792	12765
553	15822	12738
554	15851	12709
555	15880	12681
556	15908	12652
557	15936	12623
558	15964	12594
559	15993	12566
560	16020	12536
561	16048	12507
562	16077	12479
563	16109	12453
564	16138	12424
565	16166	12396
566	16194	12367
567	16223	12338
568	16251	12309
569	16279	12280
570	16308	12253
571	16337	12224
572	16365	12195
573	16394	12167
574	16422	12138
575	16450	12109
576	16478	12080
577	16507	12052
578	16535	12023
579	16561	11992
580	16590	11964
581	16619	11936
582	16647	11907
583	16677	11879
584	16706	11851
585	16736	11823
586	16762	11793
587	16791	11765
588	16820	11737
589	16849	11708
590	16878	11680
591	16908	11653
592	16937	11624
593	16966	11596
594	16995	11568
595	17023	11539
596	17052	11510
597	17079	11481
598	17109	11454
599	17139	11426
600	17169	11398
601	17198	11370
602	17227	11341
603	17255	11312
604	17284	11284
605	17313	11256
606	17342	11228
607	17372	11200
608	17399	11170
609	17427	11141
610	17454	11112
611	17483	11084
612	17511	11055
613	17541	11027
614	17571	11000
615	17600	10971
616	17630	10944
617	17657	10914
618	17685	10885
619	17713	10856
620	17741	10828
621	17771	10800
622	17799	10770
623	17827	10742
624	17854	10712
625	17884	10684
626	17913	10656
627	17942	10628
628	17970	10599
629	18000	10571
630	18029	10543
631	18055	10513
632	18084	10484
633	18112	10456
634	18142	10428
635	18171	10399
636	18200	10371
637	18230	10344
638	18261	10316
639	18291	10288
640	18320	10260
641	18348	10231
642	18376	10203
643	18411	10177
644	18442	10150
645	18472	10122
646	18501	10094
647	18529	10065
648	18560	10038
649	18588	10009
650	18616	9980
651	18645	9952
652	18674	9923
653	18701	9894
654	18729	9865
655	18758	9836
656	18785	9807
657	18815	9779
658	18844	9750
659	18874	9723
660	18905	9695
661	18933	9667
662	18962	9638
663	18991	9610
664	19018	9580
665	19046	9551
666	19076	9524
667	19106	9495
668	19135	9467
669	19165	9439
670	19192	9410
671	19219	9380
672	19247	9352
673	19276	9323
674	19305	9295
675	19334	9266
676	19363	9238
677	19392	9210
678	19421	9181
679	19448	9152
680	19477	9123
681	19506	9095
682	19535	9066
683	19564	9038
684	19593	9009
685	19623	8982
686	19652	8953
687	19680	8924
688	19709	8896
689	19737	8867
690	19767	8839
691	19796	8811
692	19825	8782
693	19854	8754
694	19884	8726
695	19913	8697
696	19942	8669
697	19970	8640
698	19999	8611
699	20028	8583
700	20056	8554
701	20086	8526
702	20115	8498
703	20144	8469
704	20172	8440
705	20202	8412
706	20230	8384
707	20258	8355
708	20287	8326
709	20315	8298
710	20343	8269
711	20371	8240
712	20400	8211
713	20429	8183
714	20456	8154
715	20485	8125
716	20515	8097
717	20542	8068
718	20570	8039
719	20600	8011
720	20630	7983
721	20660	7955
722	20689	7926
723	20718	7898
724	20748	7870
725	20778	7842
726	20807	7813
727	20836	7785
728	20865	7756
729	20895	7728
730	20924	7700
731	20955	7672
732	20983	7643
733	21013	7615
734	21042	7586
735	21073	7558
736	21101	7529
737	21132	7502
738	21161	7473
739	21189	7444
740	21218	7416
741	21246	7387
742	21275	7359
743	21303	7330
744	21330	7300
745	21357	7271
746	21386	7243
747	21415	7214
748	21443	7185
749	21478	7159
750	21510	7132
751	21543	7104
752	21573	7076
753	21602	7048
754	21632	7019
755	21662	6991
756	21691	6963
757	21721	6934
758	21750	6906
759	21778	6877
760	21808	6849
761	21838	6820
762	21865	6791
763	21894	6763
764	21923	6734
765	21954	6706
766	21985	6678
767	22013	6650
768	22042	6621
769	22071	6592
770	22100	6564
771	22127	6535
772	22158	6507
773	22187	6478
774	22216	6449
775	22244	6421
776	22272	6392
777	22300	6363
778	22328	6334
779	22358	6306
780	22386	6277
781	22415	6248
782	22443	6220
783	22474	6191
784	22502	6162
785	22529	6134
786	22558	6105
787	22587	6076
788	22616	6048
789	22646	6019
790	22674	5991
791	22703	5962
792	22731	5933
793	22759	5904
794	22789	5876
795	22817	5847
796	22845	5818
797	22874	5790
798	22901	5761
799	22929	5732
800	22959	5703
801	22987	5675
802	23016	5646
803	23044	5617
804	23074	5589
805	23102	5560
806	23129	5531
807	23159	5503
808	23190	5475
809	23221	5446
810	23252	5418
811	23284	5390
812	23313	5362
813	23342	5333
814	23369	5304
815	23401	5276
816	23429	5247
817	23457	5219
818	23485	5190
819	23513	5161
820	23542	5132
821	23573	5104
822	23603	5076
823	23631	5047
824	23661	5019
825	23689	4990
826	23716	4961
827	23746	4932
828	23773	4903
829	23801	4875
830	23829	4846
831	23857	4817
832	23886	4788
833	23915	4760
834	23942	4731
835	23971	4702
836	23999	4673
837	24029	4645
838	24056	4616
839	24085	4587
840	24117	4559
841	24148	4531
842	24176	4502
843	24204	4473
844	24231	4444
845	24261	4416
846	24288	4387
847	24318	4359
848	24347	4330
849	24376	4301
850	24406	4273
851	24435	4244
852	24463	4215
853	24492	4187
854	24523	4158
855	24554	4130
856	24588	4102
857	24619	4074
858	24650	4046
859	24679	4017
860	24707	3988
861	24736	3960
862	24765	3931
863	24794	3902
864	24823	3874
865	24852	3845
866	24881	3816
867	24909	3788
868	24938	3759
869	24967	3730
870	24995	3702
871	25024	3673
872	25054	3644
873	25082	3616
874	25110	3587
875	25140	3558
876	25168	3529
877	25196	3501
878	25224	3472
879	25251	3443
880	25279	3414
881	25307	3385
882	25335	3356
883	25363	3328
884	25391	3299
885	25419	3270
886	25450	3242
887	25478	3213
888	25506	3184
889	25533	3155
890	25561	3127
891	25588	3098
892	25616	3069
893	25645	3040
894	25674	3012
895	25701	2983
896	25730	2954
897	25758	2925
898	25786	2897
899	25815	2868
900	25843	2839
901	25872	2810
902	25900	2782
903	25929	2753
904	25958	2724
905	25986	2696
906	26015	2667
907	26044	2638
908	26073	2610
909	26101	2581
910	26130	2552
911	26160	2524
912	26190	2495
913	26219	2467
914	26248	2438
915	26276	2409
916	26306	2381
917	26336	2352
918	26363	2323
919	26392	2294
920	26420	2266
921	26449	2237
922	26478	2208
923	26506	2180
924	26535	2151
925	26562	2122
926	26591	2094
927	26620	2065
928	26648	2036
929	26677	2007
930	26704	1979
931	26734	1950
932	26762	1921
933	26792	1893
934	26821	1864
935	26850	1835
936	26878	1807
937	26907	1778
938	26936	1749
939	26964	1721
940	26993	1692
941	27022	1663
942	27052	1635
943	27079	1606
944	27108	1577
945	27138	1549
946	27167	1520
947	27195	1491
948	27223	1462
949	27252	1434
950	27279	1405
951	27308	1376
952	27337	1348
953	27366	1319
954	27395	1290
955	27424	1262
956	27452	1233
957	27481	1204
958	27509	1176
959	27539	1147
960	27567	1118
961	27597	1090
962	27629	1061
963	27663	1033
964	27696	1004
965	27726	975
966	27755	947
967	27784	918
968	27813	889
969	27844	861
970	27872	832
971	27901	803
972	27929	775
973	27957	746
974	27986	717
975	28015	688
976	28043	660
977	28071	631
978	28100	602
979	28130	574
980	28160	545
981	28191	516
982	28220	488
983	28251	459
984	28282	430
985	28310	401
986	28339	373
987	28366	344
988	28396	315
989	28424	287
990	28453	258
991	28482	229
992	28510	200
993	28541	172
994	28569	143
995	28598	114
996	28627	86
997	28656	57
998	28686	28
999	28715	0
