iter	Logloss
0	0.6906883041
1	0.6883821204
2	0.6865524253
3	0.6846223253
4	0.6826475949
5	0.6804119414
6	0.6782969264
7	0.6764804108
8	0.6749808747
9	0.6728550688
10	0.6709581904
11	0.6695690514
12	0.6682803802
13	0.6665127325
14	0.6646920188
15	0.6632860073
16	0.661800147
17	0.6601154445
18	0.6584288149
19	0.6573605231
20	0.6560999866
21	0.6551042668
22	0.653719475
23	0.6525870225
24	0.6513612412
25	0.6502838246
26	0.6490062499
27	0.6479259679
28	0.6469154193
29	0.6456229764
30	0.6446969864
31	0.6435448412
32	0.6426144314
33	0.6413521395
34	0.6404480042
35	0.6393190006
36	0.638414232
37	0.6375714193
38	0.6368201667
39	0.6356294495
40	0.6347647462
41	0.6339111511
42	0.6331546976
43	0.6323964247
44	0.631622948
45	0.6306317296
46	0.6297543947
47	0.6289249778
48	0.6280262308
49	0.6271595356
50	0.6261473929
51	0.6253831828
52	0.6243984122
53	0.6238974243
54	0.6234185758
55	0.6227667296
56	0.622137502
57	0.6213215867
58	0.6206909484
59	0.6199640321
60	0.6191329043
61	0.618452568
62	0.6176718622
63	0.6171277737
64	0.6163341928
65	0.6158030454
66	0.6149728797
67	0.6144774448
68	0.6137881926
69	0.6132739609
70	0.6127796474
71	0.6120552687
72	0.6112791865
73	0.6105455915
74	0.6100099284
75	0.6092542732
76	0.6085087159
77	0.6079534162
78	0.6073499805
79	0.6068426019
80	0.6063966847
81	0.6057473252
82	0.6050503614
83	0.6044377749
84	0.6040589446
85	0.6034428199
86	0.6030564369
87	0.6026344812
88	0.602238429
89	0.6017385705
90	0.6013240108
91	0.6007047934
92	0.5999940413
93	0.5993643469
94	0.5989016534
95	0.5984977951
96	0.5980432612
97	0.5975588868
98	0.5967908896
99	0.5964668152
100	0.5959747649
101	0.5953292058
102	0.5949275596
103	0.594463682
104	0.593987094
105	0.5935288202
106	0.5930671431
107	0.5925382163
108	0.5921408069
109	0.5916542573
110	0.5912086754
111	0.59085466
112	0.590409004
113	0.5900544642
114	0.5895503346
115	0.5892127408
116	0.5886908837
117	0.5883799459
118	0.5881278435
119	0.5876899409
120	0.5873763129
121	0.5869281869
122	0.5864412162
123	0.5861501658
124	0.5858500897
125	0.5854707339
126	0.5851140799
127	0.5847506919
128	0.5843230087
129	0.5838991072
130	0.5834283466
131	0.5830900748
132	0.5827541982
133	0.5822567812
134	0.5819013084
135	0.5815105552
136	0.5811774193
137	0.5808990975
138	0.5805597383
139	0.5801499944
140	0.5798575892
141	0.5793950635
142	0.578972244
143	0.5787635135
144	0.578442746
145	0.5782878285
146	0.5778145871
147	0.577526416
148	0.5771542231
149	0.5767158271
150	0.5763027824
151	0.5760635124
152	0.5756792498
153	0.5752840176
154	0.5749203825
155	0.5745170019
156	0.5741029892
157	0.5738130834
158	0.5734732661
159	0.5731937469
160	0.573029363
161	0.5727922948
162	0.5723837886
163	0.5720789672
164	0.5717461302
165	0.571436036
166	0.5712140346
167	0.5709704128
168	0.5707056615
169	0.5703748933
170	0.5700517301
171	0.5699000726
172	0.5695702112
173	0.5691816268
174	0.568831763
175	0.5686513024
176	0.5684472111
177	0.5681336227
178	0.5678241728
179	0.5675506455
180	0.5671988621
181	0.5668518668
182	0.5665004061
183	0.5661888992
184	0.5658806993
185	0.5656181715
186	0.5654722461
187	0.5651361205
188	0.5647166093
189	0.5644856746
190	0.5640300058
191	0.5636769053
192	0.563435372
193	0.5630968032
194	0.5628783732
195	0.5626580616
196	0.5623837801
197	0.5620904948
198	0.5617021421
199	0.5614824648
200	0.5612586563
201	0.5610884165
202	0.5607664701
203	0.5604347474
204	0.5602135685
205	0.559886913
206	0.5595943731
207	0.5593433938
208	0.5591847532
209	0.5588737132
210	0.5585890181
211	0.5584051919
212	0.5582101905
213	0.5579459449
214	0.5575785385
215	0.5573011449
216	0.5569949871
217	0.556757336
218	0.5564672876
219	0.5562009481
220	0.5557056494
221	0.555504463
222	0.5553158012
223	0.5550243461
224	0.5546732561
225	0.5543976572
226	0.5540980061
227	0.5537439574
228	0.5534416041
229	0.5531072945
230	0.5528863801
231	0.5525732409
232	0.5523221632
233	0.5520636187
234	0.5518631079
235	0.5516754189
236	0.5513927942
237	0.5512393322
238	0.5509804659
239	0.5507492387
240	0.5505064271
241	0.5502295748
242	0.5499697428
243	0.5497012141
244	0.5494789299
245	0.5492705045
246	0.5491025272
247	0.5489160971
248	0.5485911896
249	0.5483053051
250	0.5479353238
251	0.5476986622
252	0.547491479
253	0.5473716624
254	0.5472221124
255	0.5469106532
256	0.5465996748
257	0.5463186096
258	0.5460501537
259	0.5458280082
260	0.5455693248
261	0.5453086072
262	0.5450152344
263	0.544899135
264	0.5446463935
265	0.54444344
266	0.544306899
267	0.5440273129
268	0.5438545393
269	0.5435822992
270	0.5433782183
271	0.5431834419
272	0.5429523463
273	0.5427433202
274	0.5425565961
275	0.5422707336
276	0.5420623546
277	0.5418453088
278	0.5416701102
279	0.5414432024
280	0.5411970217
281	0.5410238825
282	0.5408258526
283	0.5406321201
284	0.540404175
285	0.5401343112
286	0.5399723225
287	0.5396597552
288	0.5394974579
289	0.5393726896
290	0.5391470366
291	0.5389451974
292	0.5387611995
293	0.5385047033
294	0.5383903806
295	0.5381355253
296	0.53797346
297	0.5378192288
298	0.5375605151
299	0.5372435059
300	0.5370034904
301	0.5367772287
302	0.5365061943
303	0.5362333669
304	0.5360530277
305	0.5358401673
306	0.5356656344
307	0.5354643666
308	0.535202888
309	0.5350401117
310	0.5347272074
311	0.5344571949
312	0.534269164
313	0.5341549688
314	0.5339906321
315	0.5338063375
316	0.5334835236
317	0.5333071009
318	0.5331557625
319	0.5330255615
320	0.5328479747
321	0.5326452637
322	0.5323119456
323	0.5321645333
324	0.531997616
325	0.5317545855
326	0.5314920101
327	0.531290286
328	0.5311699715
329	0.5309921563
330	0.5307712305
331	0.5305066483
332	0.5301741626
333	0.5299682266
334	0.5298402443
335	0.5296323452
336	0.5294207312
337	0.5292660028
338	0.5290975327
339	0.5289183787
340	0.5287222031
341	0.5284699365
342	0.5282406679
343	0.5279948838
344	0.5278252646
345	0.5275715736
346	0.5273977028
347	0.5271444437
348	0.5269655002
349	0.5266761772
350	0.5265006413
351	0.5263379537
352	0.5260753352
353	0.5259117103
354	0.5257698071
355	0.5255283826
356	0.5253192856
357	0.5251232688
358	0.5249232984
359	0.5248154779
360	0.5246270362
361	0.5244628647
362	0.5242513183
363	0.5240821623
364	0.5239044517
365	0.5237442352
366	0.5235214498
367	0.5232722244
368	0.5230667176
369	0.5228911734
370	0.5226585055
371	0.5224235162
372	0.5222473603
373	0.522109744
374	0.5219241725
375	0.5217346772
376	0.5215463869
377	0.5213295241
378	0.5211701588
379	0.5209736786
380	0.5207510377
381	0.520497232
382	0.5203793144
383	0.5201994264
384	0.5199862848
385	0.5198210239
386	0.5196560848
387	0.5194853857
388	0.5192302199
389	0.5189996394
390	0.5187769594
391	0.5185278324
392	0.5183743133
393	0.5182258178
394	0.5180285339
395	0.5179268295
396	0.517741367
397	0.5175187611
398	0.5173496411
399	0.5172289896
400	0.5170273225
401	0.5168049091
402	0.5165434213
403	0.5163786496
404	0.5162276174
405	0.5160072231
406	0.5158211412
407	0.5155918366
408	0.515400212
409	0.515179928
410	0.5149836374
411	0.5147870639
412	0.5144661415
413	0.5143495089
414	0.5141167451
415	0.514007327
416	0.5137054872
417	0.5135707391
418	0.5134112593
419	0.5132376534
420	0.5130127277
421	0.5127582875
422	0.5125192437
423	0.5123210931
424	0.5121466589
425	0.5118748627
426	0.5117430483
427	0.5114631058
428	0.5111533918
429	0.5109126746
430	0.5105953899
431	0.5103093565
432	0.5101696082
433	0.5098967523
434	0.5097140708
435	0.5095285347
436	0.5093154919
437	0.5091064297
438	0.5088643394
439	0.5086229341
440	0.5084585239
441	0.5082798895
442	0.5081099493
443	0.5079195181
444	0.5077369639
445	0.5075731963
446	0.5073889965
447	0.5072186045
448	0.5069295178
449	0.5067108265
450	0.506538294
451	0.506393474
452	0.5060500904
453	0.5058786221
454	0.5056735412
455	0.5054973142
456	0.5052921253
457	0.5050560663
458	0.5048726481
459	0.5046923255
460	0.5044719177
461	0.5043356045
462	0.5041069856
463	0.5039072514
464	0.503713457
465	0.5034614096
466	0.5032397856
467	0.5030452956
468	0.5028345413
469	0.5026604852
470	0.502398957
471	0.5021421258
472	0.5019881038
473	0.5017613748
474	0.5015169224
475	0.5012827479
476	0.5010730739
477	0.5008988503
478	0.50064476
479	0.5003742995
480	0.5001823274
481	0.4999543198
482	0.4997588755
483	0.4995262231
484	0.4992367765
485	0.4989503476
486	0.4986754396
487	0.4984826114
488	0.4982809369
489	0.4980951939
490	0.4978520271
491	0.4976350715
492	0.4974418654
493	0.49722043
494	0.4970033462
495	0.4967303727
496	0.4964326479
497	0.4962111095
498	0.4959836979
499	0.4957712424
500	0.4954922221
501	0.4953160426
502	0.4950800267
503	0.4948190236
504	0.4946147555
505	0.494393529
506	0.4942227875
507	0.4940251462
508	0.4937569361
509	0.4935999649
510	0.4933885717
511	0.4931554752
512	0.4929199878
513	0.4927147162
514	0.4925009704
515	0.4922723865
516	0.4919193652
517	0.4917699356
518	0.4915198891
519	0.491333043
520	0.4910967216
521	0.4909213759
522	0.4907423128
523	0.4905396437
524	0.4903165874
525	0.4901243957
526	0.4898715985
527	0.4895924489
528	0.4894060292
529	0.4891484833
530	0.4888457559
531	0.488661524
532	0.4884311454
533	0.4881288962
534	0.4879217872
535	0.487706903
536	0.4874895253
537	0.4872953797
538	0.487039281
539	0.4868362871
540	0.4866475867
541	0.4864610516
542	0.486233125
543	0.4860199064
544	0.4857897228
545	0.485568824
546	0.485366146
547	0.485199913
548	0.4850156051
549	0.4848140272
550	0.484549321
551	0.484308322
552	0.4840739379
553	0.4838626411
554	0.4836778694
555	0.4834987228
556	0.4832796293
557	0.4829737804
558	0.4827339964
559	0.4825627707
560	0.4824050084
561	0.4821906811
562	0.4819825287
563	0.4816708198
564	0.4814732917
565	0.4812761454
566	0.4811204564
567	0.4808896006
568	0.4806455356
569	0.4804167765
570	0.4801471211
571	0.4799278016
572	0.4797576025
573	0.4795661101
574	0.4793377969
575	0.4791557625
576	0.4789009623
577	0.4786511816
578	0.478422617
579	0.4783070132
580	0.4781617258
581	0.4779722782
582	0.4778392373
583	0.4775653767
584	0.4773296748
585	0.4770703819
586	0.4768314791
587	0.4765779669
588	0.4763643811
589	0.4761728215
590	0.4760420034
591	0.4758285202
592	0.4756531063
593	0.4755063909
594	0.4752671051
595	0.4750697594
596	0.4748184527
597	0.474562603
598	0.4743459664
599	0.4741715223
600	0.4739306002
601	0.4737433287
602	0.4736052794
603	0.4733202135
604	0.4731274885
605	0.4728844162
606	0.4726708086
607	0.4725602513
608	0.472287783
609	0.4721059887
610	0.4718533134
